tag_key,tag_id,tag_problem_num,tag_display_lang,tag_name,tag_name_short
slope_trick,157,22,ko,함수 개형을 이용한 최적화,함수 개형을 이용한 최적화
link_cut_tree,98,22,ko,링크/컷 트리,링크/컷 트리
manacher,44,21,ko,매내처,매내처
rabin_karp,61,21,ko,라빈–카프,라빈–카프
dp_connection_profile,107,21,ko,커넥션 프로파일을 이용한 다이나믹 프로그래밍,커넥션 프로파일을 이용한 다이나믹 프로그래밍
half_plane_intersection,190,21,ko,반평면 교집합,반평면 교집합
mobius_inversion,51,20,ko,뫼비우스 반전 공식,뫼비우스 반전 공식
pollard_rho,58,19,ko,폴라드 로,폴라드 로
tree_isomorphism,145,19,ko,트리 동형 사상,트리 동형 사상
miller_rabin,47,18,ko,밀러–라빈 소수 판별법,밀러–라빈 소수 판별법
hall,34,17,ko,홀의 결혼 정리,홀의 결혼 정리
hungarian,36,17,ko,헝가리안,헝가리안
linear_programming,103,17,ko,선형 계획법,선형 계획법
simulated_annealing,184,16,ko,담금질 기법,담금질 기법
circulation,191,15,ko,서큘레이션,서큘레이션
numerical_analysis,122,15,ko,수치해석,수치해석
point_in_non_convex_polygon,57,15,ko,오목 다각형 내부의 점 판정,오목 다각형 내부의 점 판정
alien,134,14,ko,Aliens 트릭,aliens 트릭
statistics,178,14,ko,통계학,통계학
dual_graph,181,13,ko,쌍대 그래프,쌍대 그래프
offline_dynamic_connectivity,52,13,ko,오프라인 동적 연결성 판정,오프라인 동적 연결성 판정
lucas,113,12,ko,뤼카 정리,뤼카 정리
duality,180,12,ko,쌍대성,쌍대성
voronoi,82,12,ko,보로노이 다이어그램,보로노이 다이어그램
dp_sum_over_subsets,207,12,ko,부분집합의 합 다이나믹 프로그래밍,부분집합의 합
general_matching,15,11,ko,일반적인 매칭,일반적인 매칭
matroid,104,10,ko,매트로이드,매트로이드
kitamasa,112,10,ko,키타마사,키타마사
generating_function,198,10,ko,생성 함수,생성 함수
discrete_log,146,9,ko,이산 로그,이산 로그
tree_decomposition,204,9,ko,트리 분할,트리 분할
min_enclosing_circle,162,9,ko,최소 외접원,최소 외접원
burnside,16,8,ko,번사이드 보조정리,번사이드 보조정리
tree_compression,193,8,ko,트리 압축,트리 압축
bidirectional_search,129,8,ko,양방향 탐색,양방향 탐색
utf8,199,7,ko,utf-8 입력 처리,utf-8
dominator_tree,135,7,ko,도미네이터 트리,도미네이터 트리
palindrome_tree,53,7,ko,회문 트리,회문 트리
stable_marriage,192,7,ko,안정 결혼 문제,안정 결혼
monotone_queue_optimization,165,7,ko,단조 큐를 이용한 최적화,단조 큐를 이용한 최적화
z,83,6,ko,z,Z
knuth,90,6,ko,크누스 최적화,크누스 최적화
knuth_x,174,6,ko,크누스 X,크누스 X
top_tree,105,6,ko,탑 트리,탑 트리
dancing_links,173,6,ko,춤추는 링크,춤추는 링크
